ID,Question,Sample,Classification
0,,the Goat eats Beet,animalEatsVegetable
1,,the Beet eats Goat,vegetableEatsAnimal
2,,the Bear eats Cabbage,animalEatsVegetable
3,,the Cabbage eats Bear,vegetableEatsAnimal
4,,the Ferret eats Cauliflower,animalEatsVegetable
5,,the Cauliflower eats Ferret,vegetableEatsAnimal
6,,the Kangaroo eats Spinach,animalEatsVegetable
7,,the Spinach eats Kangaroo,vegetableEatsAnimal
8,,the Tiger eats Broccoli,animalEatsVegetable
9,,the Broccoli eats Tiger,vegetableEatsAnimal
10,,the Deer eats Asparagus,animalEatsVegetable
11,,the Asparagus eats Deer,vegetableEatsAnimal
12,,the Boar eats Broccoli,animalEatsVegetable
13,,the Broccoli eats Boar,vegetableEatsAnimal
14,,the Rabbit eats Turnip,animalEatsVegetable
15,,the Turnip eats Rabbit,vegetableEatsAnimal
16,,the Fox eats Turnip,animalEatsVegetable
17,,the Turnip eats Fox,vegetableEatsAnimal
18,,the Tiger eats Spinach,animalEatsVegetable
19,,the Spinach eats Tiger,vegetableEatsAnimal
20,,the Hare eats Asparagus,animalEatsVegetable
21,,the Asparagus eats Hare,vegetableEatsAnimal
22,,the Antelope eats Onion,animalEatsVegetable
23,,the Onion eats Antelope,vegetableEatsAnimal
24,,the Chicken eats Cucumber,animalEatsVegetable
25,,the Cucumber eats Chicken,vegetableEatsAnimal
26,,the Squirrel eats Wheatgrass,animalEatsVegetable
27,,the Wheatgrass eats Squirrel,vegetableEatsAnimal
28,,the Fox eats Cauliflower,animalEatsVegetable
29,,the Cauliflower eats Fox,vegetableEatsAnimal
30,,the Hamster eats Beet,animalEatsVegetable
31,,the Beet eats Hamster,vegetableEatsAnimal
32,,the Antelope eats Pumpkin,animalEatsVegetable
33,,the Pumpkin eats Antelope,vegetableEatsAnimal
34,,the Hare eats Zucchini,animalEatsVegetable
35,,the Zucchini eats Hare,vegetableEatsAnimal
36,,the Elk eats Basil,animalEatsVegetable
37,,the Basil eats Elk,vegetableEatsAnimal
38,,the Elk eats Pepper,animalEatsVegetable
39,,the Pepper eats Elk,vegetableEatsAnimal
40,,the Boar eats Tomato,animalEatsVegetable
41,,the Tomato eats Boar,vegetableEatsAnimal
42,,the Cow eats Wheatgrass,animalEatsVegetable
43,,the Wheatgrass eats Cow,vegetableEatsAnimal
44,,the Squirrel eats Radish,animalEatsVegetable
45,,the Radish eats Squirrel,vegetableEatsAnimal
46,,the Ape eats Celery,animalEatsVegetable
47,,the Celery eats Ape,vegetableEatsAnimal
48,,the Elephant eats Tomato,animalEatsVegetable
49,,the Tomato eats Elephant,vegetableEatsAnimal
50,,the Giraffe eats Potato,animalEatsVegetable
51,,the Potato eats Giraffe,vegetableEatsAnimal
52,,the Chicken eats Tomato,animalEatsVegetable
53,,the Tomato eats Chicken,vegetableEatsAnimal
54,,the Tiger eats Turnip,animalEatsVegetable
55,,the Turnip eats Tiger,vegetableEatsAnimal
56,,the Elephant eats Pepper,animalEatsVegetable
57,,the Pepper eats Elephant,vegetableEatsAnimal
58,,the Kangaroo eats Lettuce,animalEatsVegetable
59,,the Lettuce eats Kangaroo,vegetableEatsAnimal
60,,the Pig eats Potato,animalEatsVegetable
61,,the Potato eats Pig,vegetableEatsAnimal
62,,the Monkey eats Radish,animalEatsVegetable
63,,the Radish eats Monkey,vegetableEatsAnimal
64,,the Elk eats Asparagus,animalEatsVegetable
65,,the Asparagus eats Elk,vegetableEatsAnimal
66,,the Chicken eats Lettuce,animalEatsVegetable
67,,the Lettuce eats Chicken,vegetableEatsAnimal
68,,the Giraffe eats Mushroom,animalEatsVegetable
69,,the Mushroom eats Giraffe,vegetableEatsAnimal
70,,the Lion eats Pea,animalEatsVegetable
71,,the Pea eats Lion,vegetableEatsAnimal
72,,the Cow eats Radish,animalEatsVegetable
73,,the Radish eats Cow,vegetableEatsAnimal
74,,the Buffalo eats Potato,animalEatsVegetable
75,,the Potato eats Buffalo,vegetableEatsAnimal
76,,the Boar eats Daikon,animalEatsVegetable
77,,the Daikon eats Boar,vegetableEatsAnimal
78,,the Giraffe eats Turnip,animalEatsVegetable
79,,the Turnip eats Giraffe,vegetableEatsAnimal
80,,the Mule eats Lettuce,animalEatsVegetable
81,,the Lettuce eats Mule,vegetableEatsAnimal
82,,the Bear eats Kale,animalEatsVegetable
83,,the Kale eats Bear,vegetableEatsAnimal
84,,the Rabbit eats Artichoke,animalEatsVegetable
85,,the Artichoke eats Rabbit,vegetableEatsAnimal
86,,the Turkey eats Pumpkin,animalEatsVegetable
87,,the Pumpkin eats Turkey,vegetableEatsAnimal
88,,the Hare eats Cucumber,animalEatsVegetable
89,,the Cucumber eats Hare,vegetableEatsAnimal
90,,the Ferret eats Radish,animalEatsVegetable
91,,the Radish eats Ferret,vegetableEatsAnimal
92,,the Hare eats Artichoke,animalEatsVegetable
93,,the Artichoke eats Hare,vegetableEatsAnimal
94,,the Camel eats Celery,animalEatsVegetable
95,,the Celery eats Camel,vegetableEatsAnimal
96,,the Goose eats Cabbage,animalEatsVegetable
97,,the Cabbage eats Goose,vegetableEatsAnimal
98,,the Bison eats Turnip,animalEatsVegetable
99,,the Turnip eats Bison,vegetableEatsAnimal
100,,the Antelope eats Lettuce,animalEatsVegetable
101,,the Lettuce eats Antelope,vegetableEatsAnimal
