_token,_category,_sequenceID,_reset,ID
string,list,int,int,string
,C,S,R,
get,0,0,1,0
rid,0,0,0,0
of,0,0,0,0
the,0,0,0,0
trrible,0,0,0,0
odor,0,0,0,0
in,0,0,0,0
the,0,0,0,0
kitchen,0,0,0,0
it,0,0,0,0
smells,0,0,0,0
alot,0,0,0,0
when,0,0,0,0
we,0,0,0,0
bring,0,0,0,0
in,0,0,0,0
lunch,0,0,0,0
air,0,0,0,0
freshners,0,0,0,0
would,0,0,0,0
help,0,0,0,0
not,0,0,0,0
candles,0,0,0,0
though,0,0,0,0
i,1,1,1,1
don,1,1,0,1
t,1,1,0,1
care,1,1,0,1
wfh,2 3,2,1,2
everyday,2 3,2,0,2
get,2 3,2,0,2
video,2 3,2,0,2
calls,2 3,2,0,2
set,2 3,2,0,2
up,2 3,2,0,2
so,2 3,2,0,2
we,2 3,2,0,2
can,2 3,2,0,2
phone,2 3,2,0,2
in,2 3,2,0,2
nothing,4 1,3,1,3
blah,1,4,1,4
blah,1,4,0,4
like,1,4,0,4
anyone,1,4,0,4
will,1,4,0,4
read,1,4,0,4
this,1,4,0,4
anyway,1,4,0,4
sugestions,5 6 7,5,1,5
vote,5 6 7,5,0,5
box,5 6 7,5,0,5
could,5 6 7,5,0,5
be,5 6 7,5,0,5
used,5 6 7,5,0,5
for,5 6 7,5,0,5
i,5 6 7,5,0,5
wednesday,5 6 7,5,0,5
lunch,5 6 7,5,0,5
ii,5 6 7,5,0,5
office,5 6 7,5,0,5
improvements,5 6 7,5,0,5
iii,5 6 7,5,0,5
game,5 6 7,5,0,5
movie,5 6 7,5,0,5
night,5 6 7,5,0,5
requests,5 6 7,5,0,5
etc,5 6 7,5,0,5
better,7,6,1,6
snacks,7,6,0,6
stop,7,6,0,6
people,7,6,0,6
from,7,6,0,6
stealing,7,6,0,6
my,7,6,0,6
food,7,6,0,6
even,7,6,0,6
after,7,6,0,6
i,7,6,0,6
labeled,7,6,0,6
it,7,6,0,6
its,7,6,0,6
not,7,6,0,6
right,7,6,0,6
and,7,6,0,6
it,7,6,0,6
makes,7,6,0,6
me,7,6,0,6
ngry,7,6,0,6
stay,1,7,1,7
golden,1,7,0,7
pony,1,7,0,7
boy,1,7,0,7
once,6,8,1,8
a,6,8,0,8
week,6,8,0,8
show,6,8,0,8
at,6,8,0,8
lunch,6,8,0,8
i,6,8,0,8
e,6,8,0,8
lecture,6,8,0,8
tv,6,8,0,8
show,6,8,0,8
documentary,6,8,0,8
etc,6,8,0,8
more,6,9,1,9
video,6,9,0,9
games,6,9,0,9
board,6,9,0,9
games,6,9,0,9
and,6,9,0,9
scavenger,6,9,0,9
hunts,6,9,0,9
love,4,10,1,10
teh,4,10,0,10
office,4,10,0,10
i,4,10,0,10
wouldn,4,10,0,10
t,4,10,0,10
change,4,10,0,10
a,4,10,0,10
thing,4,10,0,10
better,7 4,11,1,11
more,7 4,11,0,11
healthy,7 4,11,0,11
snacks,7 4,11,0,11
otherwise,7 4,11,0,11
the,7 4,11,0,11
office,7 4,11,0,11
is,7 4,11,0,11
perfect,7 4,11,0,11
i,4,12,1,12
can,4,12,0,12
t,4,12,0,12
think,4,12,0,12
of,4,12,0,12
a,4,12,0,12
better,4,12,0,12
workplace,4,12,0,12
environment,4,12,0,12
identifier,8,13,1,13
deleted,8,13,0,13
gives,8,13,0,13
each,8,13,0,13
employee,8,13,0,13
$,8,13,0,13
to,8,13,0,13
decorate,8,13,0,13
their,8,13,0,13
workspace,8,13,0,13
just,8,13,0,13
sayin,8,13,0,13
they,1 5,14,1,14
ve,1 5,14,0,14
moved,1 5,14,0,14
my,1 5,14,0,14
desk,1 5,14,0,14
four,1 5,14,0,14
times,1 5,14,0,14
already,1 5,14,0,14
this,1 5,14,0,14
year,1 5,14,0,14
and,1 5,14,0,14
i,1 5,14,0,14
used,1 5,14,0,14
to,1 5,14,0,14
be,1 5,14,0,14
over,1 5,14,0,14
by,1 5,14,0,14
the,1 5,14,0,14
window,1 5,14,0,14
and,1 5,14,0,14
i,1 5,14,0,14
could,1 5,14,0,14
see,1 5,14,0,14
the,1 5,14,0,14
squirrels,1 5,14,0,14
and,1 5,14,0,14
they,1 5,14,0,14
were,1 5,14,0,14
merry,1 5,14,0,14
but,1 5,14,0,14
then,1 5,14,0,14
they,1 5,14,0,14
switched,1 5,14,0,14
from,1 5,14,0,14
the,1 5,14,0,14
swingline,1 5,14,0,14
to,1 5,14,0,14
the,1 5,14,0,14
boston,1 5,14,0,14
stapler,1 5,14,0,14
but,1 5,14,0,14
i,1 5,14,0,14
kept,1 5,14,0,14
my,1 5,14,0,14
swingline,1 5,14,0,14
stapler,1 5,14,0,14
because,1 5,14,0,14
it,1 5,14,0,14
didn,1 5,14,0,14
t,1 5,14,0,14
bind,1 5,14,0,14
up,1 5,14,0,14
as,1 5,14,0,14
much,1 5,14,0,14
and,1 5,14,0,14
i,1 5,14,0,14
kept,1 5,14,0,14
the,1 5,14,0,14
staples,1 5,14,0,14
for,1 5,14,0,14
the,1 5,14,0,14
swingline,1 5,14,0,14
stapler,1 5,14,0,14
