ID,QuestionText,Sample
0,,Get rid of the trrible odor in the kitchen. It smells alot when we bring in lunch. Air freshners would help. Not candles though.
1,,I don't care
2,,WFH everyday!!! Get video calls set up so we can phone in
3,,nothing
4,,"blah blah, like anyone will read this anyway"
5,,"Sugestions/vote box. Could be used for (i) Wednesday lunch, (ii) office improvements, (iii) game/movie night requests, etc..."
6,,Better snacks! Stop people from stealing my food even after I labeled it. Its not right and it makes me ngry
7,,"stay golden, pony boy"
8,,"once-a-week show at lunch -- i.e. lecture, tv show, documentary, etc."
9,,"more video games, board games, and scavenger hunts"
10,,"love teh office, I wouldn't change a thing!"
11,,Better/more HEALTHY snacks. Otherwise the office is perfect.
12,,I can't think of a better workplace environment!
13,,"[identifier deleted] gives each employee $10,000 to decorate their workspace just sayin!"
14,,"they've moved my desk four times already this year, and I used to be over by the window, and I could see the squirrels, and they were merry, but then, they switched from the Swingline to the Boston stapler, but I kept my Swingline stapler because it didn't bind up as much, and I kept the staples for the Swingline stapler and it's not okay because if they take my stapler then I'll set the building on fire... "
15,,I wouldn't say no to trying tellpresience robots or standing desks
16,,The projector is misaligned and it BUGS the hell out of me. It was embarassing in the [identifier deleted] meeting when [identifier deleted] pinted it out!
17,,"The office is great, don't change anything. We should do more offsite activities though. Like a Giants game!"
18,,"Showers. A lot of us bike to/from work and wouldn't mind cleaning up. We could also workout before work, or even at lunchtime if we want to."
19,,I wish to work in a unicorn-free environment
20,,* snack-suggestion box  * bar * better/more beer
21,,Move the office to SF :)
22,,The Keurig is no good. We should have an arrngment with [identifier deleted] for discounts. Or at least we could have meetings at [identifier deleted].
23,,1) fresher fruit  2) actual coffee  3) almond milk
24,,I want to sit down druing stand up.
25,,"Sonos speakers, then a few of us could play some music and work together in a conference room. Otherwise all is well!"
26,,1) personal whiteboards at each desk 2) webcams in the confrnce rooms
27,,Retrofit a conference room for a nap room
28,,"lecture series; guest lectures, videos, or we give them oursleves"
29,,chairs could be better
30,,"I love the office, wouldn't want to work anywere else. Maybe have more drinks and game nights"
31,,"1- healthier snacks, 2- bring in dinner when working late, 3- allow for lunchtime workout; and maybe a gym membership at [identifier deleted] down the street?"
32,,fewer surveys
33,,"drones, video games, book club, beer"
34,,"Supplies and tech are phenomnal, food is great, kitchen and bathrooms clean... I wouldnt change anyting."
