Contr,Expansion
add'l,additional
ain't,is not
aren't,are not
can't,can not
couldn't,could not
didn't,did not
doesn't,does not
don't,do not
dont,do not
hasn't,has not
haven't,have not
here's,here is
how'd,how did
i'd,i would
'll, will
i'm,i am
i've,i have
isn't,is not
isnt,is not
it's,it is
let's,let us
occ,occasionally
sev'l,several
that's,that is
they're,they are
they've,they have
wasn't,was not
we're,we are
we've,we have
weren't,were not
what's,what is
who's,who is
won't,will not
wouldn't,would not
you'd,you would
you're,you are
you've,you have
btwn,between
alot,a lot
