timestamp,value
2013-12-02 21:15:00,79.4895
2013-12-02 21:20:00,79.57
2013-12-02 21:25:00,79.6019
2013-12-02 21:30:00,79.6649
2013-12-02 21:35:00,79.7482
2013-12-02 21:40:00,79.8346
2013-12-02 21:45:00,79.8874
2013-12-02 21:50:00,80.0027
2013-12-02 21:55:00,80.0456
2013-12-02 22:00:00,80.1353
2013-12-02 22:05:00,80.1865
2013-12-02 22:10:00,80.2295
2013-12-02 22:15:00,80.2661
2013-12-02 22:20:00,80.3144
2013-12-02 22:25:00,80.3756
2013-12-02 22:30:00,80.4492
2013-12-02 22:35:00,80.528
2013-12-02 22:40:00,80.5637
2013-12-02 22:45:00,80.6232
2013-12-02 22:50:00,80.6971
2013-12-02 22:55:00,80.7718
2013-12-02 23:00:00,80.9753
2013-12-02 23:05:00,81.1732
2013-12-02 23:10:00,81.3474
2013-12-02 23:15:00,81.4926
2013-12-02 23:20:00,81.5955
2013-12-02 23:25:00,81.7121
2013-12-02 23:30:00,81.7893
2013-12-02 23:35:00,81.909
2013-12-02 23:40:00,82.0308
2013-12-02 23:45:00,82.1572
2013-12-02 23:50:00,82.2675
2013-12-02 23:55:00,82.3856
2013-12-03 00:00:00,82.5137
2013-12-03 00:05:00,82.5861
2013-12-03 00:10:00,82.7061
2013-12-03 00:15:00,82.8261
2013-12-03 00:20:00,82.916
2013-12-03 00:25:00,83.0038
2013-12-03 00:30:00,83.0952
2013-12-03 00:35:00,83.2087
2013-12-03 00:40:00,83.2862
2013-12-03 00:45:00,83.406
2013-12-03 00:50:00,83.5541
2013-12-03 00:55:00,83.6816
2013-12-03 01:00:00,83.8004
2013-12-03 01:05:00,83.9055
2013-12-03 01:10:00,84.0351
2013-12-03 01:15:00,84.1172
2013-12-03 01:20:00,84.2702
2013-12-03 01:25:00,84.3745
2013-12-03 01:30:00,84.5023
2013-12-03 01:35:00,84.6746
2013-12-03 01:40:00,84.8493
2013-12-03 01:45:00,85.0331
2013-12-03 01:50:00,85.1679
2013-12-03 01:55:00,85.332
2013-12-03 02:00:00,85.4647
2013-12-03 02:05:00,85.656
2013-12-03 02:10:00,85.835
2013-12-03 02:15:00,85.978
2013-12-03 02:20:00,86.1425
2013-12-03 02:25:00,86.352
2013-12-03 02:30:00,86.5099
2013-12-03 02:35:00,86.6934
2013-12-03 02:40:00,86.8747
2013-12-03 02:45:00,87.0395
2013-12-03 02:50:00,87.2396
2013-12-03 02:55:00,87.4146
2013-12-03 03:00:00,87.5652
2013-12-03 03:05:00,87.706
2013-12-03 03:10:00,87.8915
2013-12-03 03:15:00,88.0533
2013-12-03 03:20:00,88.2219
2013-12-03 03:25:00,88.3799
2013-12-03 03:30:00,88.5451
2013-12-03 03:35:00,88.6431
2013-12-03 03:40:00,88.7213
2013-12-03 03:45:00,88.7921
2013-12-03 03:50:00,88.8656
2013-12-03 03:55:00,88.9189
2013-12-03 04:00:00,88.956
2013-12-03 04:05:00,88.9986
2013-12-03 04:10:00,88.9623
2013-12-03 04:15:00,88.9062
2013-12-03 04:20:00,88.8577
2013-12-03 04:25:00,88.808
2013-12-03 04:30:00,88.7199
2013-12-03 04:35:00,88.6253
2013-12-03 04:40:00,88.559
2013-12-03 04:45:00,88.4485
2013-12-03 04:50:00,88.3319
2013-12-03 04:55:00,88.2568
2013-12-03 05:00:00,88.0928
2013-12-03 05:05:00,87.92
2013-12-03 05:10:00,87.7569
2013-12-03 05:15:00,87.6203
2013-12-03 05:20:00,87.4607
2013-12-03 05:25:00,87.3154
2013-12-03 05:30:00,87.0984
2013-12-03 05:35:00,86.8633
2013-12-03 05:40:00,86.6911
2013-12-03 05:45:00,86.4871
2013-12-03 05:50:00,86.258
2013-12-03 05:55:00,86.0336
2013-12-03 06:00:00,85.804
2013-12-03 06:05:00,85.5857
2013-12-03 06:10:00,85.424
2013-12-03 06:15:00,85.1954
2013-12-03 06:20:00,85.0343
2013-12-03 06:25:00,84.8585
2013-12-03 06:30:00,84.7197
2013-12-03 06:35:00,84.5799
2013-12-03 06:40:00,84.4669
2013-12-03 06:45:00,84.3405
2013-12-03 06:50:00,84.2149
2013-12-03 06:55:00,84.0934
2013-12-03 07:00:00,83.9914
2013-12-03 07:05:00,83.9427
2013-12-03 07:10:00,83.8975
2013-12-03 07:15:00,83.8303
2013-12-03 07:20:00,83.7891
2013-12-03 07:25:00,83.7589
2013-12-03 07:30:00,83.7386
2013-12-03 07:35:00,83.7095
2013-12-03 07:40:00,83.744
2013-12-03 07:45:00,83.7143
2013-12-03 07:50:00,83.6843
2013-12-03 07:55:00,83.709
2013-12-03 08:00:00,83.736
2013-12-03 08:05:00,83.7298
2013-12-03 08:10:00,83.7419
2013-12-03 08:15:00,83.787
2013-12-03 08:20:00,83.7475
2013-12-03 08:25:00,83.7703
2013-12-03 08:30:00,83.7831
2013-12-03 08:35:00,83.7526
2013-12-03 08:40:00,83.7521
2013-12-03 08:45:00,83.6881
2013-12-03 08:50:00,83.643
2013-12-03 08:55:00,83.6511
2013-12-03 09:00:00,83.6447
2013-12-03 09:05:00,83.5784
2013-12-03 09:10:00,83.5233
2013-12-03 09:15:00,83.44
2013-12-03 09:20:00,83.3767
2013-12-03 09:25:00,83.3043
